Km	Vd	kabs	kcat	F[0]	scanIteration	fitterIteration	
5.528412e+00	5.275000e+00	2.011607e+00	7.210529e-01	2.800571e-02	98	6	
4.762069e+00	4.575158e+00	1.658337e+00	7.414241e-01	1.374083e-02	99	101	
5.260159e+00	5.151334e+00	1.978268e+00	7.453691e-01	2.201315e-02	100	25	
5.528412e+00	5.275000e+00	2.004150e+00	7.404411e-01	2.406261e-02	101	8	
5.528412e+00	5.275000e+00	2.111109e+00	7.268154e-01	1.948186e-02	102	10	
5.312747e+00	5.126951e+00	1.967278e+00	7.513260e-01	1.897592e-02	103	16	
5.528412e+00	5.275000e+00	2.134762e+00	7.068455e-01	1.619440e-02	104	4	
5.234060e+00	4.983058e+00	1.927502e+00	7.463587e-01	1.416729e-02	105	51	
5.528412e+00	5.275000e+00	2.079980e+00	7.172366e-01	1.872615e-02	106	8	
5.260159e+00	5.078531e+00	1.902610e+00	8.028548e-01	1.929282e-02	107	19	
5.528412e+00	5.275000e+00	2.134762e+00	7.394595e-01	1.274317e-02	108	7	
5.528412e+00	5.275000e+00	1.772984e+00	6.765671e-01	1.064087e-02	109	9	
5.528412e+00	5.275000e+00	2.072270e+00	7.766632e-01	1.984116e-02	110	5	
5.927105e+00	5.479070e+00	2.026604e+00	6.694243e-01	1.465195e-02	111	22	
5.528412e+00	5.275000e+00	2.111109e+00	7.124946e-01	2.035893e-02	112	8	
5.473689e+00	5.225181e+00	1.931085e+00	7.674449e-01	1.659305e-02	113	10	
5.528412e+00	5.275000e+00	2.126848e+00	6.993831e-01	1.681064e-02	114	7	
5.419507e+00	5.175833e+00	2.504400e+00	7.394595e-01	9.262246e-03	115	10	
5.473689e+00	5.275000e+00	1.938270e+00	8.233496e-01	2.654405e-02	116	18	
4.906329e+00	4.707272e+00	1.746841e+00	7.901744e-01	1.507724e-02	117	38	
4.906329e+00	4.707272e+00	1.676917e+00	8.951238e-01	9.958488e-03	118	30	
5.156538e+00	5.102684e+00	1.871078e+00	7.082536e-01	2.441553e-02	119	29	
4.955380e+00	4.983058e+00	1.892041e+00	7.776943e-01	1.702327e-02	120	46	
5.312747e+00	5.078531e+00	1.779581e+00	7.633830e-01	1.665117e-02	121	14	
5.365862e+00	5.175833e+00	2.026604e+00	6.398993e-01	2.194630e-02	122	16	
5.365862e+00	5.126951e+00	1.867606e+00	7.355457e-01	2.604678e-02	123	16	
